,user,points,state,vaccination_time,wave_no,decision,extraversion
277,427,100,S,None,5,0,3.5
278,290,100,S,None,5,0,3.5
279,435,100,S,None,5,0,3.625
280,237,100,S,None,5,0,3.5
281,127,90,V,2014-10-10 18:15:00,5,1,3.0
282,50,100,S,None,5,0,3.3277
283,261,100,S,None,5,0,4.25
284,466,90,V,2014-10-06 14:10:00,5,1,3.3277
285,451,100,S,None,5,0,2.25
286,276,100,S,None,5,0,3.875
287,48,100,S,None,5,0,3.3277
288,316,100,S,None,5,0,3.875
289,486,100,S,None,5,0,3.125
290,38,100,S,None,5,0,3.25
291,260,90,V,2014-10-06 17:00:00,5,1,3.125
292,345,90,V,2014-10-06 14:20:00,5,1,3.625
293,443,100,S,None,5,0,3.375
294,10,100,S,None,5,0,3.3277
295,159,100,S,None,5,0,2.875
296,180,90,V,2014-10-06 14:10:00,5,1,3.125
297,247,90,V,2014-10-06 14:20:00,5,1,3.75
298,472,71,V,2014-10-09 02:05:00,5,1,3.5
299,24,100,S,None,5,0,4.375
300,133,100,S,None,5,0,3.0
301,207,48,R,None,5,0,2.375
302,124,100,S,None,5,0,3.375
303,32,90,V,2014-10-06 14:15:00,5,1,3.875
304,386,90,V,2014-10-06 14:10:00,5,1,3.25
305,166,90,V,2014-10-06 15:45:00,5,1,4.0
306,379,90,V,2014-10-08 16:55:00,5,1,3.875
307,178,100,S,None,5,0,2.375
308,477,100,S,None,5,0,3.5
309,394,100,S,None,5,0,2.875
310,473,100,S,None,5,0,3.375
311,219,90,V,2014-10-06 15:25:00,5,1,2.25
312,8,100,S,None,5,0,4.5
313,246,90,V,2014-10-06 14:10:00,5,1,4.375
314,272,100,S,None,5,0,3.3277
315,248,90,V,2014-10-06 17:25:00,5,1,3.625
316,83,100,S,None,5,0,2.625
317,409,90,V,2014-10-06 15:50:00,5,1,3.125
318,4,59,V,2014-10-09 14:15:00,5,1,2.5
319,119,90,V,2014-10-06 16:05:00,5,1,2.75
320,151,100,S,None,5,0,2.25
321,340,100,S,None,5,0,3.125
322,416,90,V,2014-10-06 15:20:00,5,1,3.375
323,453,90,V,2014-10-06 14:20:00,5,1,2.75
324,52,90,V,2014-10-06 14:15:00,5,1,3.5
325,286,90,V,2014-10-06 14:10:00,5,1,4.25
326,348,100,S,None,5,0,3.125
327,33,59,V,2014-10-07 14:10:00,5,1,3.625
328,309,90,V,2014-10-06 16:30:00,5,1,2.25
329,191,90,V,2014-10-06 15:40:00,5,1,3.125
330,314,100,S,None,5,0,3.375
331,13,90,V,2014-10-06 20:15:00,5,1,3.75
332,103,90,V,None,5,1,3.3277
333,249,90,V,2014-10-06 14:25:00,5,1,3.75
334,121,100,S,None,5,0,3.3277
335,343,100,S,None,5,0,3.875
336,36,53,R,None,5,0,3.125
337,134,58,V,2014-10-07 15:35:00,5,1,2.5
338,218,45,R,None,5,0,3.875
339,16,90,V,2014-10-06 14:10:00,5,1,3.75
340,209,90,V,2014-10-06 14:25:00,5,1,3.3277
341,389,100,S,None,5,0,2.875
342,431,50,V,2014-10-06 17:20:00,5,1,3.125
343,73,100,S,None,5,0,3.0
344,278,90,V,2014-10-06 14:50:00,5,1,4.0
345,169,100,S,None,5,0,3.3277
346,329,100,S,None,5,0,3.0
